time (s)	det(V)
2167.588267	0.087785	
2167.589750	0.043188	
2167.591520	0.049593	
2167.593010	0.064433	
2167.594782	0.052433	
2167.596281	0.043131	
2167.598027	0.047631	
2167.599540	0.098182	
2167.601098	0.064497	
2167.602663	0.038354	
2167.604162	0.050938	
2167.605833	0.033661	
2167.607319	0.077453	
2167.608936	0.048634	
2167.610460	0.052352	
2167.612090	0.077819	
2167.613569	0.030224	
2167.615210	0.089779	
2167.616697	0.084365	
2167.618390	0.075446	
2167.619878	0.055357	
2167.621560	0.061110	
2167.623052	0.042861	
2167.624733	0.063563	
2167.626240	0.060284	
2167.627880	0.069146	
2167.629414	0.080264	
2167.631041	0.062262	
2167.632600	0.107238	
2167.634287	0.048880	
2167.635860	0.074137	
2167.637527	0.033222	
2167.639107	0.070266	
2167.640748	0.053766	
2167.642360	0.028835	
2167.643984	0.028923	
2167.645612	0.088325	
2167.647236	0.028408	
2167.648869	0.065597	
2167.650461	0.050519	
2167.652100	0.077380	
2167.653680	0.043445	
2167.655382	0.089795	
2167.656939	0.031244	
2167.658643	0.059208	
2167.660190	0.049448	
2167.661872	0.054487	
2167.663409	0.059816	
2167.665120	0.033773	
2167.666625	0.048469	
2167.668384	0.053988	
2167.669863	0.051333	
2167.671636	0.021076	
2167.673125	0.023376	
2167.674891	0.031981	
2167.676373	0.035937	
2167.678133	0.034212	
2167.679623	0.052545	
2167.681373	0.010530	
2167.682878	0.048835	
2167.684615	0.034809	
2167.686140	0.030857	
2167.687860	0.010820	
2167.689398	0.047478	
2167.691091	-0.010236	
2167.692650	0.034108	
2167.694347	0.014961	
2167.695924	-0.013028	
2167.697588	0.029910	
2167.699162	0.042720	
2167.700823	0.010949	
2167.702407	0.012307	
2167.704058	-0.006240	
2167.705669	0.033959	
2167.707281	-0.004620	
2167.708921	-0.002655	
2167.710535	-0.017173	
2167.712212	0.062983	
2167.713803	-0.010333	
2167.715459	0.038172	
2167.717047	0.006691	
2167.718736	0.010981	
2167.720298	-0.025531	
2167.722013	-0.003698	
2167.723553	-0.001458	
2167.725267	0.004048	
2167.726823	0.003174	
2167.728523	0.019908	
2167.730079	0.009241	
2167.731808	-0.008234	
2167.733331	0.009926	
2167.735076	0.018828	
2167.736553	-0.014542	
2167.738326	0.016645	
2167.739812	-0.004616	
2167.741339	0.009092	
2167.742886	0.034039	
2167.744451	0.004971	
2167.746022	0.033209	
2167.747505	0.022756	
2167.749150	0.028323	
2167.750643	0.034712	
2167.752285	-0.010458	
2167.753803	-0.023340	
2167.755443	0.034080	
2167.756922	0.025858	
2167.758567	0.013249	
2167.760047	0.015014	
2167.761688	0.013100	
2167.763176	0.025129	
2167.764809	0.024013	
2167.766316	0.019928	
2167.767958	-0.004882	
2167.769481	0.045500	
2167.771113	0.004552	
2167.772655	0.017551	
2167.774275	0.015408	
2167.775852	0.016206	
2167.777443	0.006719	
2167.779041	0.030748	
2167.780602	0.030261	
2167.782242	0.051047	
2167.783741	0.017173	
2167.785461	0.024657	
2167.787029	-0.030043	
2167.788708	0.009225	
2167.790283	0.005990	
2167.791954	0.015710	
2167.793518	-0.005974	
2167.795223	0.036331	
2167.796782	0.020287	
2167.798506	0.024492	
2167.800041	0.010945	
