time (s)	magX	magY	magZ
3756.006384	388.669800	351.322632	347.183502
3756.009714	388.552887	351.088837	347.534180
3756.013053	387.442444	350.738159	347.709534
3756.016384	387.325531	350.036835	348.644653
3756.019718	387.033325	350.679718	349.404419
3756.023057	386.682648	350.095276	349.345978
3756.026401	386.098206	350.445923	349.988892
3756.029711	385.572174	350.270599	350.047302
3756.033052	384.812378	349.803040	351.391571
3756.036387	384.520172	349.452362	351.450012
3756.039720	384.286377	349.861511	351.333130
3756.043048	384.286377	349.218567	351.216248
3756.046385	383.643494	349.627716	351.566895
3756.049720	383.059021	349.452362	351.508453
3756.053042	382.649902	348.751007	351.683777
3756.057669	381.948578	348.926361	351.742249
3756.060584	381.481018	349.277039	352.092896
3756.063918	381.188782	349.393951	351.333130
3756.067308	380.545868	349.861511	351.917572
3756.070669	380.019867	350.036835	351.859131
3756.073939	379.727661	350.036835	351.917572
3756.077235	379.201630	350.153717	351.391571
3756.080141	378.441833	350.679718	350.514893
3756.083465	377.857391	351.673279	350.924011
3756.086804	376.980713	351.322632	349.930420
3756.090136	376.513153	351.381073	348.761536
3756.093493	375.928711	351.614868	348.878418
3756.096817	376.162476	351.848633	347.534180
3756.100155	375.344238	352.023956	347.125061
3756.103044	374.350677	352.549988	346.540588
3756.106384	374.116882	353.017548	346.365265
3756.109708	374.175354	353.835785	344.553467
3756.113085	372.947998	354.127991	345.079468
3756.116370	372.714203	354.420227	343.910583
3756.119711	371.895966	354.946228	343.209229
3756.123042	371.194641	355.647583	342.624756
3756.126376	370.376404	355.706024	341.981873
3756.129708	370.084167	356.115143	340.812958
3756.133044	369.967285	357.459381	340.696075
3756.136375	369.149048	357.225616	339.176483
3756.139699	368.623016	357.693176	337.364685
3756.143039	367.512573	358.452972	336.838684
3756.146369	367.395691	358.978973	334.383972
3756.149707	366.168335	359.680328	333.916382
3756.153037	365.992981	359.738739	332.104614
3756.156401	364.648743	360.323212	330.585022
3756.159703	364.648743	361.375244	328.247192
3756.163036	363.362946	361.901245	327.779633
3756.166462	362.953827	362.777924	326.435425
3756.169704	361.843384	363.654602	324.156036
3756.173034	361.726471	364.180603	322.285767
3756.176371	360.148468	364.706604	320.181732
3756.179701	359.680878	365.641724	318.603699
3756.183035	358.687317	366.050873	316.616577
3756.186375	358.219757	367.395081	314.687866
3756.189701	356.875519	367.921112	312.992981
3756.193036	356.115723	368.739349	311.181152
3756.196373	355.648163	369.206909	308.784912
3756.199734	354.654602	370.142029	307.206879
3756.203036	353.485687	370.726501	304.343079
3756.206367	352.842773	371.661621	302.589691
3756.209703	351.498535	372.070709	300.076538
3756.213031	350.621857	373.298065	298.264709
3756.217306	346.998260	375.109894	293.939789
3756.220624	346.296906	375.460541	292.537109
3756.223980	345.244904	375.460541	289.497925
3756.227219	344.660431	377.097046	286.458801
3756.230545	343.199310	378.324402	284.120972
3756.233869	341.855072	378.558167	280.497345
3756.237239	340.686157	378.616577	278.393311
3756.240568	339.634125	379.551727	274.945038
3756.243518	338.231445	380.136169	272.256561
3756.246803	336.711853	381.188202	268.983612
3756.250131	335.426056	381.889526	266.470459
3756.253457	334.081818	382.649323	263.548187
3756.256786	332.737579	382.941559	260.625916
3756.260115	331.568665	383.701355	257.119202
3756.263025	329.581543	384.168915	253.320251
3756.266356	328.003510	385.045593	250.865570
3756.269695	326.308594	385.220917	247.066589
3756.273022	324.672119	385.396271	243.910553
3756.276361	323.094086	387.032745	239.936279
3756.279693	321.457642	386.974274	235.903534
