time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
1579.739523	106.911690	-0.205587	0.036090	67
1581.781142	106.747292	-0.203754	0.035813	69
1583.813928	106.900826	-0.201685	0.035582	71
1585.845528	106.808655	-0.199596	0.035324	73
1587.884021	106.133385	-0.199517	0.034568	75
1589.925678	106.137299	-0.197912	0.034300	77
1591.952541	105.823654	-0.196236	0.033883	79
1593.986264	105.285973	-0.195257	0.033359	81
1596.016348	105.002274	-0.194228	0.032871	83
1598.056225	104.753799	-0.192094	0.032486	85
1600.088080	104.510605	-0.189947	0.032225	87
1602.128124	104.381241	-0.188012	0.031900	89
1604.165640	104.342941	-0.185692	0.031500	91
1606.205386	104.744766	-0.183544	0.031387	93
1608.252979	105.335831	-0.179837	0.031410	95
1610.293696	105.526772	-0.177199	0.031221	97
1612.334759	105.997002	-0.175165	0.031034	99
1614.377436	106.550339	-0.171909	0.031068	101
1616.431943	107.044792	-0.169536	0.030964	103
1618.474662	107.847610	-0.166571	0.031277	105
1620.518247	108.190987	-0.163861	0.031401	107
1622.553812	108.261177	-0.162418	0.031240	109
1624.588432	108.465836	-0.160313	0.031246	111
1626.632517	108.642128	-0.158177	0.030964	113
1628.675077	108.187042	-0.156971	0.030465	115
1630.728711	108.150314	-0.155374	0.030014	117
1632.751127	108.632866	-0.152644	0.030369	119
1634.790712	108.368828	-0.151136	0.029923	121
1636.824998	107.807686	-0.150382	0.029067	123
1638.867615	107.939949	-0.148641	0.028818	125
1640.910957	108.435394	-0.145642	0.029507	127
