time (s)	det(V)
4343.449210	-0.003742	
4343.450928	0.000314	
4343.452463	-0.029358	
4343.454176	0.011054	
4343.455678	0.025930	
4343.457412	-0.000016	
4343.458894	0.024649	
4343.460676	0.019477	
4343.462163	0.012879	
4343.463658	0.013841	
4343.465247	0.040444	
4343.466821	0.013547	
4343.468400	-0.015561	
4343.469900	0.000443	
4343.471544	0.029153	
4343.473033	0.017116	
4343.474653	0.011102	
4343.476177	0.007501	
4343.477803	0.014385	
4343.479290	-0.012443	
4343.480924	-0.011517	
4343.482404	0.034591	
4343.484039	0.031348	
4343.485521	0.022132	
4343.487224	0.014852	
4343.488697	0.036589	
4343.490375	0.033854	
4343.491895	0.067587	
4343.493559	0.033693	
4343.495105	0.049524	
4343.496702	0.024520	
4343.498279	0.042184	
4343.499847	0.041137	
4343.501458	0.056324	
4343.503006	-0.000016	
4343.504637	0.053412	
4343.506131	0.053532	
4343.507814	0.073436	
4343.509404	0.062838	
4343.511085	0.069078	
4343.512625	0.023735	
4343.514327	0.048384	
4343.515862	0.026265	
4343.517567	0.044928	
4343.519102	0.042370	
4343.520827	0.050684	
4343.522316	0.033862	
4343.524060	0.045665	
4343.525553	0.051345	
4343.527331	0.035981	
4343.528806	0.071748	
4343.530572	0.016979	
4343.532050	0.034200	
4343.533798	0.055148	
4343.535295	0.052872	
4343.537030	0.048642	
4343.538548	0.079672	
4343.540270	0.029733	
4343.541809	0.058318	
4343.543516	0.057984	
4343.545047	0.030305	
4343.546737	0.044730	
4343.548294	0.080152	
4343.549963	0.034285	
4343.551542	0.040706	
4343.553189	0.013616	
4343.554787	0.089952	
4343.556439	0.045979	
4343.558032	0.074024	
4343.559648	0.040795	
4343.561254	0.006159	
4343.562855	0.003070	
4343.564527	0.046237	
4343.566096	0.027654	
4343.567781	0.078850	
4343.569332	0.000189	
4343.571028	0.113538	
4343.572589	0.025987	
4343.574264	0.066665	
4343.575805	0.051651	
4343.577515	0.051220	
4343.579038	0.040005	
4343.580784	0.011271	
4343.582262	0.045012	
4343.584032	0.034942	
4343.585519	-0.010010	
4343.587295	0.015392	
4343.588776	0.029435	
4343.590534	0.014309	
4343.592020	0.076143	
4343.593771	0.043288	
4343.595265	0.048288	
4343.596982	0.016488	
4343.598507	0.040013	
4343.600219	0.034172	
4343.601753	0.030176	
4343.603433	0.025781	
4343.604982	0.040364	
4343.606679	0.011622	
4343.608249	0.030180	
4343.609919	0.030539	
4343.611486	0.037008	
4343.613135	-0.013886	
4343.614731	0.009547	
