time (s)	det(V)
5831.290333	1.626056	
5831.291821	1.626136	
5831.293446	1.626112	
5831.294976	1.626172	
5831.296626	1.626080	
5831.298093	1.626201	
5831.299812	1.626237	
5831.301296	1.626048	
5831.303000	1.626120	
5831.304479	1.626104	
5831.306197	1.626152	
5831.307670	1.626209	
5831.309376	1.626205	
5831.310859	1.626056	
5831.312539	1.626241	
5831.314058	1.626019	
5831.315709	1.626136	
5831.317249	1.626084	
5831.318865	1.626116	
5831.320432	1.626120	
5831.322110	1.626189	
5831.323680	1.626112	
5831.325339	1.626221	
5831.326928	1.626100	
5831.328549	1.626128	
5831.330166	1.625987	
5831.331774	1.626193	
5831.333433	1.626027	
5831.335042	1.626072	
5831.336686	1.626120	
5831.338287	1.626165	
5831.339968	1.626136	
5831.341545	1.626172	
5831.343240	1.626136	
5831.344791	1.626092	
5831.346491	1.626096	
5831.348053	1.626136	
5831.349748	1.626068	
5831.351294	1.626128	
5831.353030	1.625826	
5831.354536	1.626035	
5831.356298	1.625895	
5831.357779	1.626035	
5831.359556	1.622990	
5831.361036	1.602776	
5831.362785	1.523853	
5831.364273	1.457817	
5831.366060	1.373025	
5831.367548	1.335582	
5831.369328	1.308741	
5831.370816	1.251220	
5831.372554	1.189519	
5831.374060	1.160511	
5831.375800	1.100263	
5831.377317	1.065422	
5831.379035	1.010279	
5831.380576	0.987523	
5831.382301	0.922006	
5831.383860	0.890359	
5831.385568	0.861094	
5831.387121	0.880236	
5831.388796	0.786179	
5831.390366	0.820243	
5831.392013	0.740736	
5831.393605	0.714032	
5831.395247	0.645377	
5831.396871	0.654670	
5831.398510	0.597855	
5831.400108	0.612848	
5831.401729	0.565266	
5831.403404	0.558764	
5831.404982	0.511496	
5831.406654	0.487975	
5831.408231	0.483427	
5831.409913	0.452727	
5831.411485	0.424226	
5831.413166	0.422607	
5831.414710	0.379762	
5831.416429	0.365993	
5831.417962	0.336989	
5831.419679	0.354263	
5831.421183	0.347978	
5831.422939	0.305057	
5831.424422	0.313178	
5831.426192	0.285934	
5831.427670	0.248874	
5831.429434	0.268177	
5831.430921	0.229949	
5831.432698	0.221517	
5831.434203	0.230013	
5831.435689	0.244857	
5831.437258	0.211825	
5831.438769	0.175768	
5831.440410	0.207205	
5831.441900	0.190358	
5831.443534	0.181286	
5831.445065	0.145217	
5831.446697	0.149330	
5831.448196	0.148327	
5831.449848	0.126566	
5831.451322	0.165113	
5831.452956	0.121615	
5831.454440	0.142167	
5831.456076	0.120765	
5831.457550	0.142393	
5831.459229	0.106783	
5831.460729	0.108543	
5831.462376	0.069106	
5831.463920	0.108938	
5831.465539	0.076707	
5831.467113	0.066165	
5831.468701	0.060348	
5831.470310	0.079245	
5831.471866	0.029914	
5831.473491	0.063950	
5831.475011	0.077352	
5831.476686	0.060477	
5831.478286	0.027481	
5831.479959	0.062294	
5831.481540	0.046366	
5831.483239	0.035651	
5831.484797	0.032106	
5831.486505	0.040126	
5831.488050	0.010059	
5831.489750	0.023832	
5831.491293	0.060872	
5831.493018	0.011722	
5831.494531	0.015779	
5831.496308	0.024206	
5831.497800	0.039039	
5831.499589	0.019823	
5831.501066	0.031711	
5831.502849	0.018687	
5831.504333	0.043220	
5831.506124	0.008399	
5831.507615	0.042414	
5831.509408	0.008891	
5831.510883	0.024657	
5831.512664	0.018156	
5831.514149	0.059635	
5831.515897	0.013201	
5831.517401	0.002949	
5831.519120	0.006187	
5831.520641	0.027344	
5831.522354	0.004314	
5831.523889	0.042156	
5831.525596	0.019110	
5831.527147	0.019574	
5831.528837	-0.009483	
5831.530399	0.004697	
5831.532051	-0.014313	
5831.533625	0.004032	
5831.535271	0.001652	
5831.536881	0.026184	
5831.538533	-0.010570	
5831.540140	0.046016	
5831.541778	0.005491	
5831.543408	0.005857	
5831.545029	0.009104	
5831.546710	-0.001269	
5831.548297	-0.018675	
5831.549965	-0.013821	
5831.551551	0.004016	
5831.553210	0.015497	
5831.554791	-0.000060	
5831.556486	-0.026269	
5831.558051	0.009064	
5831.559757	-0.010925	
5831.561301	-0.014917	
5831.563021	-0.008186	
5831.564539	-0.017918	
5831.566273	-0.025072	
5831.567760	-0.009269	
5831.569530	-0.007658	
5831.571018	-0.012625	
5831.572791	0.017330	
5831.574269	0.001108	
5831.576068	-0.024246	
5831.577550	-0.010562	
5831.579307	-0.017443	
5831.580800	0.003851	
5831.582523	-0.044038	
5831.584031	-0.023030	
5831.585764	-0.032480	
5831.587297	0.008866	
5831.589008	-0.036529	
5831.590549	0.011541	
5831.592076	-0.005225	
5831.593683	0.011573	
5831.595174	-0.024392	
5831.596811	-0.003505	
5831.598346	-0.012061	
5831.599976	-0.015920	
5831.601453	-0.006884	
5831.603090	0.017733	
5831.604570	-0.015151	
5831.606206	-0.021016	
5831.607686	0.043715	
5831.609328	-0.027099	
5831.610815	0.000540	
5831.612395	0.001023	
5831.613934	0.008907	
5831.615578	0.000060	
5831.617140	0.002618	
5831.618727	-0.007319	
5831.620327	0.025080	
5831.621905	-0.007138	
5831.623519	0.022994	
5831.625050	0.018675	
5831.626729	-0.017704	
